Step,AgentID,x,y,Agent type,Issuetree
0,0,2,9,<class 'model_SM_agents.ActiveAgent'>,"[[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,1,1,2,<class 'model_SM_agents.ActiveAgent'>,"[[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,2,6,1,<class 'model_SM_agents.ActiveAgent'>,"[[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,3,4,2,<class 'model_SM_agents.ActiveAgent'>,"[[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,4,7,3,<class 'model_SM_agents.ActiveAgent'>,"[[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,5,0,5,<class 'model_SM_agents.ActiveAgent'>,"[[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,6,6,5,<class 'model_SM_agents.ActiveAgent'>,"[[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,7,1,8,<class 'model_SM_agents.ActiveAgent'>,"[[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,8,0,3,<class 'model_SM_agents.ActiveAgent'>,"[[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,100,1,7,<class 'model_SM_agents.ElectorateAgent'>,
0,101,3,5,<class 'model_SM_agents.ElectorateAgent'>,
0,50,7,2,<class 'model_SM_agents.TruthAgent'>,
0,10,4,7,<class 'model_SM_agents.ActiveAgent'>,"[[0.84, 0.05, 1.0], [0.0, 0.6, 0.65], [1.0, 0.95, 0.35], [0.0, 0.65, 0.55], [0.0, 0.35, 0.31], [1.0, 0.95, 0.07], [1.0, 0.95, 0.07], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75]]"
0,11,3,1,<class 'model_SM_agents.ActiveAgent'>,"[[0.84, 0.05, 1.0], [0.0, 0.6, 0.65], [1.0, 0.95, 0.35], [0.0, 0.65, 0.55], [0.0, 0.35, 0.31], [1.0, 0.95, 0.07], [1.0, 0.95, 0.07], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75]]"
